Timestamp,Theta,Motor_x,Motor_velocity,Angle_velocity,Control_Output
1733963070.1199892,320.88598783302825,0,0,-16.09615830511091,[-85158.16184025],[   0.         -320.88598783    0.           16.09615831]
1733963070.2309823,318.22864786963567,0,0,-23.94147780920048,[-86295.25018298],[   0.         -318.22864787    0.           23.94147781]
1733963070.3429036,317.0558887850047,0,0,-10.47842524519847,[-86786.31122502],[   0.         -317.05588879    0.           10.47842525]
1733963070.4522305,317.0558887850047,0,0,0.0,[-84843.4601284],[   0.         -317.05588879    0.            0.        ]
1733963070.5623195,316.75340486007156,0,0,-2.747629191489664,[-85335.26971463],[   0.         -316.75340486    0.            2.74762919]
1733963070.6719506,321.2098261471863,0,0,40.649257828462126,[-86462.49446076],[   0.         -321.20982615    0.          -40.64925783]
1733963070.779949,329.3227199782035,0,0,75.12052030564597,[-87543.56061592],[   0.         -329.32271998    0.          -75.12052031]
1733963070.888966,340.3743172852206,0,0,101.37486586406837,[-91490.670521],[   0.         -340.37431729    0.         -101.37486586]
1733963071.0003545,357.24344312846347,0,0,151.44412742551177,[-98415.74423127],[   0.         -357.24344313    0.         -151.44412743]
1733963071.1095562,6.8090501796133935,0,0,-3209.057095317796,[19275.1646289],[   0.           -6.80905018    0.         3209.05709532]
1733963071.2218895,16.94532337737914,0,0,90.23391463299444,[-5269.40488249],[  0.         -16.94532338   0.         -90.23391463]
1733963071.3309665,29.690726512016795,0,0,116.84778503530751,[-8694.25229029],[   0.          -29.69072651    0.         -116.84778504]
1733963071.4400604,38.796552098308155,0,0,83.46777602674152,[-10907.89739506],[  0.         -38.7965521    0.         -83.46777603]
1733963071.5482914,49.019582487837454,0,0,94.45559958701608,[-13601.45470754],[  0.         -49.01958249   0.         -94.45559959]
1733963071.6585467,54.26022153117148,0,0,47.5318812699745,[-14958.69087796],[  0.         -54.26022153   0.         -47.53188127]
1733963071.7682157,60.09157267859486,0,0,53.172297885892924,[-16481.72633521],[  0.         -60.09157268   0.         -53.17229789]
1733963071.8802283,66.39588495708576,0,0,56.28215831108731,[-18583.37888165],[  0.         -66.39588496   0.         -56.28215831]
1733963071.989822,74.89890183861455,0,0,77.5867803098833,[-20603.54991628],[  0.         -74.89890184   0.         -77.58678031]
1733963072.0988212,76.38581725517064,0,0,13.641519413361292,[-20468.93673412],[  0.         -76.38581726   0.         -13.64151941]
1733963072.210324,76.7594800848128,0,0,3.3511494065763725,[-20972.00428696],[  0.         -76.75948008   0.          -3.35114941]
1733963072.3185062,74.59229635935797,0,0,-20.0327215451936,[-19621.28837246],[  0.         -74.59229636   0.          20.03272155]
1733963072.4276035,70.05400213839906,0,0,-41.59861535433671,[-18433.73563504],[  0.         -70.05400214   0.          41.59861535]
1733963072.538907,64.40597075400117,0,0,-50.74438754887761,[-17206.52339952],[  0.         -64.40597075   0.          50.74438755]
1733963072.6479707,56.07020257793937,0,0,-76.43032358776496,[-14466.34926252],[  0.         -56.07020258   0.          76.43032359]
1733963072.7581956,45.0,0,0,-100.4328089892031,[-11474.43070779],[  0.         -45.           0.         100.43280899]
1733963072.86757,35.51222431541112,0,0,-86.745944961131,[-8935.97995419],[  0.         -35.51222432   0.          86.74594496]
1733963072.9775717,29.852076269182675,0,0,-51.4550481941999,[-7696.94364975],[  0.         -29.85207627   0.          51.45504819]
1733963073.0890315,23.34190131912058,0,0,-58.40831329839237,[-5976.20728593],[  0.         -23.34190132   0.          58.4083133 ]
1733963073.1981301,16.53483785734514,0,0,-62.39364130565499,[-4005.68586305],[  0.         -16.53483786   0.          62.39364131]
1733963073.3096254,8.13010235415598,0,0,-75.38200074836318,[-1712.80746647],[ 0.         -8.13010235  0.         75.38200075]
1733963073.4219878,1.697156189600264,0,0,-57.251776706474466,[-79.51997314],[ 0.         -1.69715619  0.         57.25177671]
1733963073.5289564,354.9390385568727,0,0,3302.293813744024,[-114196.32220788],[    0.          -354.93903856     0.         -3302.29381374]
1733963073.6380954,347.69946112100195,0,0,-66.3335720255992,[-92447.91887283],[   0.         -347.69946112    0.           66.33357203]
1733963073.7484322,339.590117166196,0,0,-73.4962894016204,[-91224.88370235],[   0.         -339.59011717    0.           73.4962894 ]
1733963073.856429,334.5545935034512,0,0,-46.62653992022743,[-88133.91694867],[   0.         -334.5545935     0.           46.62653992]
1733963073.9684668,330.46121774044195,0,0,-36.535713177333896,[-90376.97489551],[   0.         -330.46121774    0.           36.53571318]
1733963074.0775301,325.61965527615513,0,0,-44.39218881003855,[-86633.68124317],[   0.         -325.61965528    0.           44.39218881]
